"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"1","12","Banco Gnb Sudameris","2018-11-16T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","27.42","16857","40"
"4","8","Giros & Finanzas C.F.","2018-03-09T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","17","ADQ VIVIENDA VIS (PESOS)","14.46","61430","1"
"1","2","Banco Popular","2004-10-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","25.69","485000","0"
"1","62","Mibanco S.A.","2017-09-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","23.36","2969797","58"
"1","49","Av Villas","2018-07-06T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","80","A MAS DE 1825 DIAS","9.09","2679254.84","86"
"32","4","Cotrafa Financiera","2010-11-26T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","18.71","3841105","0"
"1","48","Banco Aliadas S.A.","2003-07-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","24.43","240700","0"
"22","8","Fondo Nacional Del Ahorro","2019-12-20T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","20","ADQ VIVIENDA VIS (UVR)","6.8","26198577.13","437"
"1","30","Banco Caja Social","2004-12-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","29.08","98313","0"
"1","2","Banco Popular","2006-03-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","27344","0"
"32","2","Jfk Cooperativa Financiera","2016-12-09T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","33.7","2100","1"
"1","7","Bancolombia","2007-01-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","20.41","13128114","0"
"32","1","Cooperativa Financiera De Antioquia","2015-12-25T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","26.82","1100","1"
"1","57","Banco Pichincha S.A.","2019-09-27T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","13.9","1193356.28","120"
"4","23","Serfinansa","2011-08-19T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","11.86","2548986.41","29"
"32","2","Jfk Cooperativa Financiera","2006-01-06T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","23.14","5450","0"
"1","9","Citibank","2007-04-06T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","9.3","23031495.77","0"
"1","2","Banco Popular","2008-08-08T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","22.77","60000","0"
"4","108","Iris Cf","2004-04-16T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","18.24","1980.04","0"
"1","53","Banco W S.A.","2021-12-24T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","14.22","591200.67","25"
"4","46","Coltefinanciera","2017-12-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","14.19","192772.14","1"
"32","1","Cooperativa Financiera De Antioquia","2011-09-09T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","35.91","29000","7"
"1","44","Megabanco S.A.","2005-03-11T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","13.02","2000000","0"
"1","58","Coopcentral","2018-11-02T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","8.14","2361000","8"
"4","118","Crezcamos S.A.","2017-12-29T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","25.85","124315.01","30"
"1","54","Bancoomeva","2011-08-19T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","21.57","1511220.05","22"
"1","1","Banco De Bogota","2009-04-10T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","12.73","129349830","0"
"1","39","Banco Davivienda","2013-05-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","30.6","891719.48","2250"
"1","30","Banco Caja Social","2013-02-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","30.95","3038778.18","21882"
"4","67","Leasing Bancolombia","2004-04-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","21.94","50000","0"
"1","13","Bbva Colombia","2018-06-22T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","12.68","10425188","69"
"4","31","Gm Financial Colombia S.A. Compañía De Financiamiento","2007-09-14T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","20.4","4890657.44","0"
"1","47","Conavi Banco Comercial Y De Ahorros S.A.","2005-02-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","28.63","1352462","0"
"1","30","Banco Caja Social","2019-03-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","27.53","3234650.5","34344"
"1","8","Scotiabank Colombia S.A.","2007-05-25T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","11.6","24900434","0"
"1","39","Banco Davivienda","2002-09-27T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","26.65","737663.06","0"
"1","58","Coopcentral","2017-04-14T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","16","4000","1"
"1","12","Banco Gnb Sudameris","2008-06-13T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","23.17","9190935.04","0"
"1","47","Conavi Banco Comercial Y De Ahorros S.A.","2004-04-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","5468009","0"
"1","1","Banco De Bogota","2006-08-18T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","22.39","902726","0"
"1","55","Finandina Bic O Banco Finandina Bic","2021-11-05T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","18.08","99910.37","93"
"32","4","Cotrafa Financiera","2009-09-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","18.16","126138","0"
"1","30","Banco Caja Social","2013-02-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","30.54","2431777.41","6305"
"1","2","Banco Popular","2010-08-20T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","19.62","4543","0"
"1","6","Itaú; Banco Itaú.","2017-09-01T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","16.61","58933293.87","1155"
"4","8","Giros & Finanzas C.F.","2003-06-20T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","17.63","88009","0"
"1","39","Banco Davivienda","2013-08-23T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","80","A MAS DE 1825 DIAS","23.11","391455","11"
"32","1","Cooperativa Financiera De Antioquia","2014-06-06T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","17.58","994162","128"
"1","12","Banco Gnb Sudameris","2008-09-12T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","24.58","761356.5","0"
"4","90","Leasing De Occidente S.A. Compañía De Financiamiento","2007-07-06T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","17.99","135000","0"
"1","56","Banco Falabella S.A.","2015-02-06T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","25.48","2247392","247"
"1","6","Itaú; Banco Itaú.","2008-11-07T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","90","ENTRE 1 Y 5 DIAS","14.8","7470362","0"
"1","54","Bancoomeva","2012-05-18T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","80","A MAS DE 1825 DIAS","10.94","100000","1"
"4","59","Leasing Corficolombiana","2004-02-27T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","18.23","95000","0"
"1","39","Banco Davivienda","2010-06-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","22.85","180072.75","0"
"1","50","Granbanco S.A.","2006-10-20T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","8","CONSTRUCCION VIVIENDA DIF VIS (UVR)","5.11","1381000","0"
